Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
10/31/18,276107,Oak Cliff,TX,Dallas-Fort Worth-Arlington,Dallas County,Dallas,118,149200,0.016348774,0.027548209,0.156589147,,,2018-10,2018-Q4,149200,0,2018-10
10/31/18,273201,Central Colorado Springs,CO,Colorado Springs,El Paso County,Colorado Springs,119,241300,0.010046044,0.021591871,0.092844203,,,2018-10,2018-Q4,241300,0,2018-10
10/31/18,26352,Ozone Park,NY,New York-Newark-Jersey City,Queens County,New York,120,518700,0.007771517,0.01387803,0.07950052,,,2018-10,2018-Q4,518700,0,2018-10
10/31/18,403541,Northside-Northline,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,121,126100,0.007993605,0.016935484,0.139114724,,,2018-10,2018-Q4,126100,0,2018-10
10/31/18,124381,Flagami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,122,286900,0.007020007,0.017736786,0.11331005,,,2007-07,2007-Q3,332500,-0.137142857,2005-12
10/31/18,272885,Bayview,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,506,911700,0.01142667,0.025534308,0.089637863,,,2018-10,2018-Q4,911700,0,2018-10
10/31/18,276128,Richmond Hill,NY,New York-Newark-Jersey City,Queens County,New York,124,556200,0.006150507,0.015890411,0.093160377,,,2018-10,2018-Q4,556200,0,2018-10
10/31/18,13017,North Hills,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,125,580600,0.004324511,0.007111882,0.058137416,,,2018-10,2018-Q4,580600,0,2018-10
10/31/18,276151,Woodward Park,CA,Fresno,Fresno County,Fresno,126,354700,0.00254381,0.005100595,0.051586125,,,2006-04,2006-Q2,410900,-0.136772937,2005-02
10/31/18,193526,Brownsville,NY,New York-Newark-Jersey City,Kings County,New York,127,448800,0.010355696,0.036729037,0.129909366,,,2018-10,2018-Q4,448800,0,2018-10
10/31/18,274415,Flatlands,NY,New York-Newark-Jersey City,Kings County,New York,128,527100,0.012485594,0.029291154,0.082118661,,,2018-10,2018-Q4,527100,0,2018-10
10/31/18,112261,Laveen,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Phoenix,129,229700,0.00834065,0.023618538,0.087079981,,,2006-06,2006-Q2,271500,-0.153959484,2005-06
10/31/18,273860,Gramercy,NY,New York-Newark-Jersey City,New York County,New York,130,1021100,0.002257558,-0.001466849,0.029646062,,,2018-06,2018-Q2,1028000,-0.006712062,2018-05
10/31/18,275707,The Heights,NJ,New York-Newark-Jersey City,Hudson County,Jersey City,131,539400,0.013719226,0.018312252,0.181081673,,,2018-10,2018-Q4,539400,0,2018-10
10/31/18,54232,Roxbury,MA,Boston-Cambridge-Newton,Suffolk County,Boston,132,433800,0.002079002,0.02407932,0.060376436,,,2018-10,2018-Q4,433800,0,2018-10
10/31/18,268548,Valley Glen,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,133,705500,0.00441344,0.012195122,0.0752934,,,2018-10,2018-Q4,705500,0,2018-10
10/31/18,273177,Centennial Hills,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,134,285100,0.0102764,0.036350418,0.146361078,,,2006-05,2006-Q2,335700,-0.150729818,2004-09
10/31/18,274056,Hoover,CA,Fresno,Fresno County,Fresno,135,225700,0.005345212,0.013016158,0.059624413,,,2006-04,2006-Q2,286000,-0.210839161,2005-01
10/31/18,274346,Lone Mountain,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,136,295100,0.010270455,0.040183292,0.152734375,,,2006-06,2006-Q2,341500,-0.135871157,2004-10
10/31/18,117224,Parkway,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,Sacramento,137,254300,0.003155819,0.012743927,0.085360649,,,2006-06,2006-Q2,298700,-0.148644125,2004-12
10/31/18,403217,Kensington,NY,New York-Newark-Jersey City,Kings County,New York,138,1002700,0.013544931,0.034778122,0.130312253,,,2018-10,2018-Q4,1002700,0,2018-10
10/31/18,269566,Albany Park,IL,Chicago-Naperville-Elgin,Cook County,Chicago,139,265700,-0.003001876,-0.005613772,0.036675771,,,2008-01,2008-Q1,297200,-0.105989233,2004-12
10/31/18,48516,Wilmington,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,140,456700,0.005504183,0.017829285,0.083254269,,,2007-02,2007-Q1,484700,-0.057767691,2006-02
10/31/18,30731,Canoga Park,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,Los Angeles,141,534500,0.003002439,0.003002439,0.095960632,,,2006-07,2006-Q3,542400,-0.014564897,2006-04
